machine_block_name,Description,brine_pump.conservative,brine_pump.midpoint,brine_pump.optimistic,evaporation_pond_lined.conservative,evaporation_pond_lined.midpoint,evaporation_pond_lined.optimistic,evaporation_pond_unlined.conservative,evaporation_pond_unlined.midpoint,evaporation_pond_unlined.optimistic,blasting_generic.conservative,blasting_generic.midpoint,blasting_generic.optimistic,excavation_loading_generic.conservative,excavation_loading_generic.midpoint,excavation_loading_generic.optimistic,crushing_cycle.conservative,crushing_cycle.midpoint,crushing_cycle.optimistic,attrition_scrubber.conservative,attrition_scrubber.midpoint,attrition_scrubber.optimistic,classifier_generic.conservative,classifier_generic.midpoint,classifier_generic.optimistic,classifier_flotation.conservative,classifier_flotation.midpoint,classifier_flotation.optimistic,high_energy_grinding_mill.conservative,high_energy_grinding_mill.midpoint,high_energy_grinding_mill.optimistic,sulfuric_acid_roaster,sulfate_roasting_train_lepidolite.conservative,sulfate_roasting_train_lepidolite.midpoint,sulfate_roasting_train_lepidolite.optimistic,calciner_generic,acid_leach_circuit.conservative,acid_leach_circuit.midpoint,acid_leach_circuit.optimistic,water_leach.conservative,water_leach.midpoint,water_leach.optimistic,chlor-alkali_leach_circuit,cstr_generic,solid_liquid_separation.conservative,solid_liquid_separation.midpoint,solid_liquid_separation.optimistic,thickener_generic.conservative,thickener_generic.midpoint,thickener_generic.optimistic,multi_stage_ccd_thickening.conservative,multi_stage_ccd_thickening.midpoint,multi_stage_ccd_thickening.optimistic,mechanical_dewatering.conservative,mechanical_dewatering.midpoint,mechanical_dewatering.optimistic,two_stage_neutralizing_circuit.conservative,two_stage_neutralizing_circuit.midpoint,two_stage_neutralizing_circuit.optimistic,staged_neutralization.conservative,staged_neutralization.midpoint,staged_neutralization.optimistic,liming_system,sx_generic,ix_generic,dle_adsorption,strip_elution_circuit,precipitator.conservative,precipitator.midpoint,precipitator.optimistic,batch_treatment_generic.conservative,batch_treatment_generic.midpoint,batch_treatment_generic.optimistic,wash_purify_combo.conservative,wash_purify_combo.midpoint,wash_purify_combo.optimistic,boron_removal,ion_exchange_polishing,recrystallization,drying_packaging_generic.conservative,drying_packaging_generic.midpoint,drying_packaging_generic.optimistic,drying_packaging_propane.conservative,drying_packaging_propane.midpoint,drying_packaging_propane.optimistic
machine_block_type,,Extraction,,,,,,,,,,,,,,,Communition / Beneficiation,,,,,,,,,,,,,,,Thermal Conversion / Roasting,,,,,Leaching / Dissolution,,,,,,,,"Solid-liquid separation (Thickening, CCD, filtration)",,,,,,,,,,,,Primary Conditioning & Neutralization,,,,,,,Li Capture & Separation,,,,Conversion to product,,,,,,Washing and Polishing,,,,,,Drying & Finishing,,,,,
block_long_name,,Brine Pump-Well System,Brine Pump-Well System,Brine Pump-Well System,Generic Evaporation Pond system,Generic Evaporation Pond system,Generic Evaporation Pond system,Generic Evaporation Pond system,Generic Evaporation Pond system,Generic Evaporation Pond system,"Blasting Generic, conservative","Blasting Generic, midpoint","Blasting Generic, optimistic",Excavation & Loading Combo,Excavation & Loading Combo,Excavation & Loading Combo,Crusher,Crusher,Crusher,Attrition Scrubber,Attrition Scrubber,Attrition Scrubber,Classifier,Classifier,Classifier,Classifier + Flotation combo,Classifier + Flotation combo,Classifier + Flotation combo,High Energy Grinding Mill,High Energy Grinding Mill,High Energy Grinding Mill,,"Lepidolite sulfate roasting train (conditioning, drying, roasting, heat recovery, discharge to water leach)","Lepidolite sulfate roasting train (conditioning, drying, roasting, heat recovery, discharge to water leach)","Lepidolite sulfate roasting train (conditioning, drying, roasting, heat recovery, discharge to water leach)",,Acid Leach Circuit,Acid Leach Circuit,Acid Leach Circuit,Water Leach Circuit,Water Leach Circuit,Water Leach Circuit,,Continuous Stirred Tank Reactor,Solid-Liquid Separation Generic,Solid-Liquid Separation Generic,Solid-Liquid Separation Generic,Thickener,Thickener,Thickener,Multi-stage CCD + Leach Residue Thickening,Multi-stage CCD + Leach Residue Thickening,Multi-stage CCD + Leach Residue Thickening,Mechanical Dewatering,Mechanical Dewatering,Mechanical Dewatering,Two-Stage Neutralizing Circuit,Two-Stage Neutralizing Circuit,Two-Stage Neutralizing Circuit,"Impurity removal, neutralization, pH adjustment. Includes clarification / removal of solids","Impurity removal, neutralization, pH adjustment. Includes clarification / removal of solids","Impurity removal, neutralization, pH adjustment. Includes clarification / removal of solids",Lime softening and hardness removal,Solvent Extraction Generic,Ion Exchange generic,Adsorption-based DLE,,Precipitator,Precipitator,Precipitator,Batch Treatment Generic,Batch Treatment Generic,Batch Treatment Generic,Washing and Purification,Washing and Purification,Washing and Purification,Boron Removal Circuit,,,Drying & packaging circuit,Drying & packaging circuit,Drying & packaging circuit,Drying & packaging circuit,Drying & packaging circuit,Drying & packaging circuit
notes,"Common processes this step is used in, other info",,,,,,,,,,Need to add utility usage + determine capex,,,"Need to update to encompass all blocks, not just excavator","Need to update to encompass all blocks, not just excavator","Need to update to encompass all blocks, not just excavator",Need to aggregate across collected data & EverBatt reporting,Need to aggregate across collected data & EverBatt reporting,Need to aggregate across collected data & EverBatt reporting,,,,,,,,,,,,,,Basis is wet cake at 80 wt% solids; train delivers a roasted calcine suitable for downstream water leach around 80°C; Dominant utility is thermal fuel for moisture removal + heating solids to roast temperature.,Basis is wet cake at 80 wt% solids; train delivers a roasted calcine suitable for downstream water leach around 80°C; Dominant utility is thermal fuel for moisture removal + heating solids to roast temperature.,Basis is wet cake at 80 wt% solids; train delivers a roasted calcine suitable for downstream water leach around 80°C; Dominant utility is thermal fuel for moisture removal + heating solids to roast temperature.,,,,,"Continuous, agitated leach of roasted calcine using water at ~80°C.","Continuous, agitated leach of roasted calcine using water at ~80°C.","Continuous, agitated leach of roasted calcine using water at ~80°C.",,,Solid–liquid separation (settling + filtration lumped),Solid–liquid separation (settling + filtration lumped),Solid–liquid separation (settling + filtration lumped),,,,,,,"Includes filter presses, centrifuges, vacuum filters, etc.","Includes filter presses, centrifuges, vacuum filters, etc.","Includes filter presses, centrifuges, vacuum filters, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_volume,"Reference scale, as a rate for continuous, or as a quantity for batch",72000,72000,72000,1,1,1,1,1,1,650,650,650,10,10,10,240,240,240,100,100,100,160,160,160,160,160,160,21,21,21,,60,60,60,,1100,1100,1100,60,60,60,,1,100,100,100,100,100,100,100,100,100,60,60,60,100,100,100,100,100,100,50000,50000,,,,50000,50000,50000,100000,100000,100000,60,60,60,100000,,,2.5,2.5,2.5,2.5,2.5,2.5
base_volume_unit,"Not used directly in calculation, but should match with units of step_basis",L/h,L/h,L/h,m2,m2,m2,m2,m2,m2,metric tonnes/h,metric tonnes/h,metric tonnes/h,tonnes/cycle,tonnes/cycle,tonnes/cycle,t/h,t/h,t/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,,t/h,t/h,t/h,,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,,L concentrated brine/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m3 lithium slurry being pressed,m3 lithium slurry being pressed,m3 lithium slurry being pressed,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,L/h,L de-boronated concentrated brine/h,,,,L polished brine/h,L polished brine/h,L polished brine/h,L/batch concentrated brine,L/batch concentrated brine,L/batch concentrated brine,m3 Li2CO3 cake being washed/batch,m3 Li2CO3 cake being washed/batch,m3 Li2CO3 cake being washed/batch,L limed concentrated brine/h,,,tonnes Li2CO3 cake being dried & packed/h,tonnes Li2CO3 cake being dried & packed/h,tonnes Li2CO3 cake being dried & packed/h,tonnes Li2CO3 cake being dried & packed/h,tonnes Li2CO3 cake being dried & packed/h,tonnes Li2CO3 cake being dried & packed/h
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from. Needs to align with step_basis defined in target step. Units should be in base_volume_units,brine_pump_throughput,brine_pump_throughput,brine_pump_throughput,brine_evaporation_throughput,brine_evaporation_throughput,brine_evaporation_throughput,brine_evaporation_throughput,brine_evaporation_throughput,brine_evaporation_throughput,rock_blast_throughput,rock_blast_throughput,rock_blast_throughput,loose_rock_throughput,loose_rock_throughput,loose_rock_throughput,crushed_ore_throughput,crushed_ore_throughput,crushed_ore_throughput,scrubbed_slurry_throughput,scrubbed_slurry_throughput,scrubbed_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,,,,,roasting_mix,roasting_mix,roasting_mix,,leach_slurry_throughput,leach_slurry_throughput,leach_slurry_throughput,leaching_slurry,leaching_slurry,leaching_slurry,,brine_lime_throughput,mixture_being_separated,mixture_being_separated,mixture_being_separated,thickener_feed_throughput,thickener_feed_throughput,thickener_feed_throughput,CCD_feed_throughput,CCD_feed_throughput,CCD_feed_throughput,slurry_press_throughput,slurry_press_throughput,slurry_press_throughput,neutralizing_throughput,neutralizing_throughput,neutralizing_throughput,pregnant_solution_throughput,pregnant_solution_throughput,pregnant_solution_throughput,brine_liming_throughput,brine_SX_throughput,,,,polish_brine_throughput,polish_brine_throughput,polish_brine_throughput,concentrated_brine_throughput,concentrated_brine_throughput,concentrated_brine_throughput,cake_wash_throughput,cake_wash_throughput,cake_wash_throughput,brine_deboron_throughput,,,cake_dry_throughput,cake_dry_throughput,cake_dry_throughput,cake_dry_throughput,cake_dry_throughput,cake_dry_throughput
oversizing_factor,Process volume ≠ design volume,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1.15,1.15,1.15,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,,1.2,1.2,1.2,,1.15,1.15,1.15,1.2,1.2,1.2,,,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.25,1.25,1.25,1.15,1.15,1.15,1.15,1.15,1.15,1.2,,,,,1.2,1.2,1.2,1.15,1.15,1.15,1.25,1.25,1.25,,,,1,1,1,1,1,1
scaling_exponent_throughput,Exponent for operations vis-a-vis process rate,,,,1,1,1,1,1,1,1,1,1,,,,0.65,0.65,0.65,1,1,1,0.67,0.67,0.67,0.67,0.67,0.67,1,1,1,,0.7,0.7,0.7,,1,1,1,0.7,0.7,0.7,,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,,,,0.6,0.6,0.6,0.7,0.7,0.7,1,1,1,0.7,,,1,1,1,1,1,1
process_type,continuous or batch,batch,batch,batch,batch,batch,batch,batch,batch,batch,continuous,continuous,continuous,batch,batch,batch,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,,batch,batch,batch,,continuous,continuous,continuous,continuous,continuous,continuous,,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,batch,batch,batch,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,,,,continuous,continuous,continuous,batch,batch,batch,batch,batch,batch,continuous,,,continuous,continuous,continuous,continuous,continuous,continuous
batch_cycle_time,,1,1,1,8760,8760,8760,8760,8760,8760,-,-,-,0.025,0.01666666667,0.01333333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,1,1,,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,,,,,,,,6,6,6,1,1,1,,,,,,,,,
batch_cycle_time_unit,,hour,hour,hour,hour,hour,hour,hour,hour,hour,unit,unit,unit,hour,hour,hour,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,,hour,hour,hour,,unit,unit,unit,unit,unit,unit,,,,,,unit,unit,unit,unit,unit,unit,h,h,h,unit,unit,unit,unit,unit,unit,unit,,,,,,,,hr,hr,hr,h,h,h,,,,,,,,,
batch_setup_time,,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,0.2,0.2,0.2,-,-,-,-,-,-,-,,,,,,,,1,1,1,0.2,0.2,0.2,,,,,,,,,
batch_setup_time_unit,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hour,hour,hour,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,hour,hour,hour,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,h,h,h,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,hr,hr,hr,h,h,h,,,,,,,,,
